Sites,Abra,Absol,Aipom,Aron,Beldom,Bellsprout,Bergmite,Bidoof,Blitzle,Bronzor,Bulbasaur,Buneary,Cacnea,Carvanha,Castaform,Caterpie,Charizard,Charjabug,Charmander,Cherrim,Chikorita,Chimchar,Chimecho,Chinchou,Clefairy,Combee,Cottonee,Cranidos,Cresselia,Croagunk,Cubone,Darmanitan,Darumaka,Dedenne,Delibird,Diglett,Ditto,Drifloon,Drillbur,Drowzee,Dunsparse,Durant,Duskull,Eevee,Ekans,Electrabuzz,Electrike,Elgyem,Espurr,Exeggcute,Fidough,Finneon,Flabebe,Fletchinder,Fletchling,Foongus,Fuecoco,Furfou,Garchomp,Gastly,Geodude,Girafarig,Glameow,Gligar,Glimmet,Glossifleur,Goldeen,Goomy,Gothita,Growlithe,Grubbin,Gulpin,Happiny,Hatenna,Hippopotas,Hitmonchan,Hitmonlee,Hoppip,Houndour,Hypno,Illumise,Jigglypuff,Jolteon,Joltick,Kecleon,Koffing,Komala,Kricketot,Lebyda,Lechonk,Lickitung,Lillipup,Litten,Litwick,Lorax,Lotad,Lunatone,Machop,Magikarp,Magmar,Magnemite,Makuhita,Mankey,Mareep,Meditite,Meowth,Mienfoo,Miltank,Minccino,Minpod,Minun,Misdreavius,Munna,Murkrow,Natu,Nickit,Nidoran,Nidorana,Nidorano,Nosepass,Numel,Nymble,Oddish,Onyx,Oricorio,Oshawatt,Pancham,Panpour,Patrat,Pawmi,Phanpy,Pidgey,Pidove,Pikachu,Pikipek,Pinsear,Plusle,Pocchyena,Porygon,Psyduck,Purrloin,Quaxly,Ralts,Rattata,Rhyhorn,Roggenrola,Rookidee,Rowlet,Rufflet,Sableye,Sandshrew,Sandygast,Sawk,Seedot,Sentret,Seviper,Sewaddle,Shellder,Shellos,Shieldon,Shover,Shroomish,Shuckle,Shuppet,Sigloo,Skitty,Skorbunny,Skorupi,Skursit,Skwovet,Slakoth,Slugma,Smoochum,Snorlax,Snover,Snubbull,Spearow,Spinarak,Spoink,Sprigatito,Squirtle,Starly,Stufful,Stunfisk,Sudowoodo,Sunkern,Surskit,Swablu,Taillow,Tauros,Tentacool,Throh,Tirtouga,Togedemaru,Torchic,Treeko,Trubbish,Tyanamo,Tympole,Vanillite,Venipede,Venonat,Voltorb,Vulpix,Wailmer,Weedle,Whiscash,Wimpod,Wingull,Wismurr,Wobbuffet,Woobat,Wooloo,Wurmple,Yamask,Yamper,Yanma,Yungoos,Zigzagoon,Zorua,Zubat
Dahl,0,0,24,0,0,1,0,10,0,0,1,0,0,4,0,2,0,0,0,1,2,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,47,0,0,0,5,0,14,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,3,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,3,3,0,0,0,0,0,0,1,0,1,3,0,0,1,2,0,0,0,2,1,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,5,3,0,0,4,1,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,3,2,3,0,0,0,1,0,0,8,1,0,0,3,1,1,0,0,0,1,1,0,0,1,0,2,3,36,0,0,13,0,0,0,0,6,0,0,2,0,0,1,0,1,0,2
Barna,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,6,0,0,0,0,2,1,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,1,0,0,0,0,0,2,0
Bonelli,2,1,0,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,1,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,1,0,0,0,0,1,0,8,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0
Castonguay,1,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,1,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,5,1,0,0,0,8,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0
Chatburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,11,0,0,1,0,2,1,3,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,4,0
DAndrea,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,7,1,0,0,0,2,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,8,0,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,1,0,10,0,0,1,2,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,1,0,2,0,0,0,8,0
Duniven,1,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,9,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0
Emmanuels,0,0,0,0,0,1,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,7,0,0,0,1,2,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,1,0,3,2,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Fish,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,6,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5,0,0,0,1,1,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,7,1,0,0,0,8,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
Flores,0,0,0,0,0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,8,0,0,0,0,1,0,9,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,7,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0
